sample,rep_1,rep_2,Pass_coverage
1700101001,9411.12493580808,6494.58418311202,Pass
1700103002,16641.7817474873,17459.2099625853,Pass
1700103503,15279.6607732375,21544.7642139241,Pass
1700103504,11658.5673098085,15073.1228083046,Pass
1700103505,12677.0000733622,12127.1746020101,Pass
1700201002,15756.1082489359,11481.9616908851,Pass
1700301001,16226.4235285484,17318.8927785117,Pass
1700401001,17723.8357420585,20130.769202553,Pass
1700401002,15575.3841244223,7068.63230870809,Pass
1700401501,4742.06338493141,5521.74176509427,Pass
1700405502,10074.0008069841,5680.81498055902,Pass
1700801001,10118.9168072775,14447.9899493801,Pass
1700801501,11349.4551390213,16790.2558139535,Pass
1700901001,9348.68300198078,10822.7077250385,Pass
1700901002,528.96640011738,108.711906683295,Fail
1700901501,108.977037634803,25.6031839190081,Fail
1701001001,11442.1089094378,6194.22024071628,Pass
1701001501,10378.3982826948,5627.79142815206,Pass
1701101001,14216.6792895934,13863.4354909731,Pass
1701101002,17385.9889182445,18185.0394833407,Pass
1701101003,15343.3075003669,9062.72816674006,Pass
1701101004,76.1641714369588,32.924335828563,Fail
1701101501,14151.3464699839,9532.37758696609,Pass
1701101504,11616.8564509027,6869.58417730809,Pass
1701101505,1637.62468809629,1201.30126229268,Pass
1701202001,14815.6891971231,9211.49163364157,Pass
1701202002,19187.4995596653,24720.7022603846,Pass
1701202501,19419.7844561867,19373.9499486276,Pass
1701202502,17926.8138118303,22776.9217672097,Pass
1701202503,22110.4334360781,22015.8878614414,Pass
1701202505,17236.9420226038,14015.7104065757,Pass
1701501503,199.436138214364,217.043357053774,Fail
1701501504,96.9403565402392,36.8633262416551,Fail
1701603504,14849.3847790988,7461.89409951563,Pass
1701802503,20953.2587699985,19787.7026273301,Pass
1701802504,22238.5717011595,25569.4449581682,Pass
1701802505,18130.4386467048,19702.7243505064,Pass
1702001001,14610.4102451196,12589.5457214149,Pass
1702001501,17647.0940848378,18816.5463819169,Pass
1702001502,16417.0435197417,1788.38881549978,Pass
1702001503,16745.1185968002,7749.62821077352,Pass
1702301501,8371.51713007116,7837.25038515149,Pass
1702701001,20997.9340965801,23628.0151181565,Pass
1703601502,3886.84676354029,763.879935417584,Fail
1703901504,8667.28753852928,4892.86907382944,Pass
1708301501,8836.68743578453,4200.25458681932,Pass
1708301502,14666.0146778218,8177.99339498019,Pass
1708301503,15626.588800822,16964.3294437106,Pass
1708801501,7744.49067958315,4074.11756935271,Pass
1709401502,20500.8904300602,16016.819682959,Pass
1709401503,3575.51687949508,1184.23587259651,Pass
1800102001,7115.37378035361,5015.80441640379,Pass
1800102002,9405.38229036754,9443.37935587998,Pass
1800301001,11546.8952157323,11132.1952597593,Pass
1800301002,5484.64939829762,3510.91810977399,Pass
1800301501,22715.045274435,16717.0044760787,Pass
1800303001,13077.2297475785,9034.54725565013,Pass
1800304001,12610.2610801291,9742.81640739654,Pass
1800304501,21895.2024508365,17320.5620780746,Pass
1800601001,23839.8791458761,15679.0551805107,Pass
1800601501,21417.972042853,16819.0928235985,Pass
1800601502,16231.7568241855,12555.5694892868,Pass
1800601503,18053.3054740241,13155.3080422659,Pass
1800601504,3496.21243029058,2410.3540504843,Pass
1801002002,15978.9986058116,10919.0733783387,Pass
1801002504,17353.6510126211,14304.9926621661,Pass
1801002505,16278.1721455826,11469.013208101,Pass
1801003503,17307.240680951,12881.3724684473,Pass
1801003504,20426.8026856472,15937.7271059583,Pass
1801202002,13072.1394922219,8994.50887877898,Pass
1801202502,15130.6737599061,11098.3581596713,Pass
1801202503,12871.9725565013,10449.7389932492,Pass
1801301001,502.206001027071,31.30614041523,Fail
1801301002,113.771403418678,25.8322206734649,Fail
1801301503,364.36835155161,91.9609713153841,Fail
1801301504,82.7774191181865,30.9385958477001,Fail
1801301505,142.579121120974,30.299831266965,Fail
1801301507,93.0544347443328,68.1575086200572,Fail
1801401001,8320.26856471969,4462.49581743469,Pass
1801404001,20482.9827560904,14923.7377458174,Pass
1801404501,9724.03610214265,6915.11072791312,Pass
1801404502,18568.2758291752,14343.2054593484,Pass
1801502001,22978.5598767244,15592.4101849134,Pass
1801502501,24829.5093924274,18130.5849721162,Pass
1801502502,19980.2337100088,12267.605077781,Pass
1801701503,559.934546521867,387.493762841209,Fail
1802006001,7722.37100088054,4032.6372174934,Pass
1802006002,22280.9721896096,16402.5126944526,Pass
1802101001,19486.2343704139,14770.5527590255,Pass
1802101002,8571.46543880246,4816.12180804227,Pass
1802101501,18664.7946874083,13360.9513501614,Pass
1802101502,4871.00616378045,3710.2395802759,Pass
1802101503,2281.53595538597,1587.46543880247,Pass
1802101504,13414,8771.93887584385,Pass
1802101505,18316.7316554153,14927.2228500147,Pass
1802101506,18489.5102729674,16341.5549603757,Pass
1802103002,4408.33981508659,2391.31618726152,Pass
1802103501,10290.9575873202,6256.24933959495,Pass
1802103502,10629.4475344878,7573.36718520693,Pass
1802103503,492.220722042853,306.476152039918,Fail
1802103504,2122.2854417376,1913.53191957734,Pass
1802103505,2982.56244496625,2768.43608746698,Pass
1802103506,10418.3582330496,7643.32044320517,Pass
1802301001,5514.15981802172,3743.91855004403,Pass
1802301501,6695.69342530085,4685.33893454652,Pass
1802301502,8032.4876724391,5751.89536248899,Pass
1802302001,11262.1712650426,7970.82477252715,Pass
1802302002,24575.5068241855,16316.1109480481,Pass
1802302501,21847.7112562372,16456.4368946287,Pass
1802302502,1558.25623715879,1143.57528617552,Pass
1802302503,2675.63765776343,2187.6394922219,Pass
1802602501,109.150792486058,503.379659524508,Fail
1802603501,1514.39947167596,24.8878045201057,Fail
1802603502,524.843997651893,1118.65402113296,Fail
1802701507,587.01482242442,365.333651306134,Fail
1802702501,845.987012034048,23.5620046962137,Fail
1803002001,18619.1398283325,14920.3746606999,Pass
1803002501,20895.5411928692,11978.1792971902,Pass
1803002502,13977.0170200279,5942.46885775071,Pass
1803101001,43.0130613442912,28.5554006457294,Fail
1803101002,58.8552245377165,16.4323451717053,Fail
1803101502,574.586072791312,726.55305253889,Fail
1803101503,292.73686527737,132.425374229527,Fail
1803101504,95.6360434399765,52.8901526269445,Fail
1803101506,65.8662312885236,21.428823011447,Fail
1803101507,58.776709715292,46.9013795127678,Fail
1803301001,10983.2526416202,17793.9195039624,Pass
1803302001,18591.9234663927,13437.7253448782,Pass
1803302501,9488.64073965365,8007.78969768124,Pass
1803401001,10561.1782359847,9906.03008511887,Pass
1803401501,19849.0104931024,15603.3436307602,Pass
1803401502,20175.4132668036,13871.7536689169,Pass
1803601001,11373.2627678309,8636.05884942765,Pass
1803601003,222.152920457881,103.733563252128,Fail
1803601505,65.9002788376871,19.806281185794,Fail
1803601506,58.6854270619313,44.8538303492809,Fail
1803801002,8276.61968007044,6183.71646609921,Pass
1803801501,8226.09032873496,6257.64844437922,Pass
1803801502,2939.97395068976,4269.02516877018,Pass
1803801504,752.950763134723,719.97490460816,Fail
1803801505,80.8688729087173,76.2500733783387,Fail
1803801506,431.147637217493,361.365057235104,Fail
1803802504,19660.3547842677,15769.395142354,Pass
1803802505,19170.8345318462,14836.5719107719,Pass
1803802506,4670.47930730848,5012.57161725859,Pass
1803802507,20679.4422512474,15261.1223216906,Pass
1803804003,12510.6990020546,12638.0100528324,Pass
1803901504,296.369900205459,170.742442031112,Fail
1804101001,3704.75770472556,3137.88508952157,Pass
1804101501,2172.78294687408,1720.82264455533,Pass
1804101502,10096.5124009392,7446.50469621368,Pass
1804101503,1247.69357205753,1162.16847666569,Pass
1804101505,1078.0504109187,875.37841209275,Fail
1804103001,15656.663340182,11325.7635749927,Pass
1804103503,8448.93616084532,6534.62246844731,Pass
1804103504,17994.4804813619,13233.5366891694,Pass
1804103505,6642.95384502495,5875.8712943939,Pass
1804301001,8095.69070501064,5335.75702442961,Pass
1804301003,18005.1332990976,14309.2324114152,Pass
1804401501,21764.1221015556,25747.2071470502,Pass
1804404001,12094.3525829175,23366.40945113,Pass
1804501001,17362.2157581982,16769.3948353019,Pass
1804501002,6969.04937275328,6927.43870589098,Pass
1804701001,19018.5580661727,15560.9980925831,Pass
1804701501,16819.2228743306,12662.181938229,Pass
1804701505,3016.98877558506,1853.76758858484,Pass
1804902002,5266.43087760493,8568.39873789257,Pass
1804902501,75.7246110948048,30.0647196947461,Fail
1804902502,18048.3299090109,15142.9839301438,Pass
1804904001,3409.49523040798,4768.88545641327,Pass
