"bottleneck_size"	"Log_Likelihood"	"pair"
122	-51.5711905525366	4
123	-51.9509919532178	4
124	-52.3305602243779	4
125	-52.7098985216861	4
126	-53.0890099455041	4
127	-53.4678975419998	4
128	-53.8465643042352	4
129	-54.225013173228	4
130	-54.6032470389896	4
131	-54.9812687415376	4
132	-55.3590810718865	4
133	-55.7366867730152	4
134	-56.1140885408129	4
135	-56.491289025004	4
136	-56.8682908300527	4
137	-57.2450965160471	4
138	-57.6217085995649	4
139	-57.9981295545194	4
140	-58.3743618129882	4
141	-58.7504077660235	4
142	-59.1262697644451	4
143	-59.5019501196172	4
144	-59.8774511042082	4
145	-60.2527749529347	4
146	-60.6279238632901	4
147	-61.0028999962578	4
148	-61.3777054770098	4
149	-61.7523423955904	4
150	-62.1268128075866	4
151	-62.5011187347836	4
152	-62.875262165808	4
153	-63.2492450567566	4
154	-63.6230693318139	4
155	-63.9967368838552	4
156	-64.370249575039	4
157	-64.7436092373866	4
158	-65.1168176733496	4
159	-65.489876656367	4
160	-65.8627879314101	4
161	-66.2355532155166	4
162	-66.6081741983145	4
163	-66.9806525425341	4
164	-67.3529898845117	4
165	-67.725187834681	4
166	-68.0972479780565	4
167	-68.4691718747057	4
168	-68.840961060213	4
169	-69.2126170461336	4
170	-69.5841413204386	4
171	-69.9555353479509	4
172	-70.3268005707728	4
173	-70.697938408705	4
174	-71.0689502596568	4
175	-71.4398375000482	4
176	-71.8106014852049	4
177	-72.1812435497439	4
178	-72.5517650079528	4
179	-72.9221671541605	4
180	-73.2924512631014	4
181	-73.6626185902716	4
182	-74.0326703722785	4
183	-74.4026078271831	4
184	-74.7724321548362	4
185	-75.1421445372066	4
186	-75.5117461387044	4
187	-75.8812381064967	4
188	-76.2506215708173	4
189	-76.619897645271	4
190	-76.9890674271305	4
191	-77.3581319976287	4
192	-77.7270924222445	4
193	-78.0959497509836	4
194	-78.4647050186525	4
195	-78.8333592451289	4
196	-79.2019134356249	4
197	-79.5703685809465	4
198	-79.9387256577473	4
199	-80.3069856287772	4
200	-80.675149443126	4
1	-Inf	5
2	-5.47044179785865	5
3	-5.0001874726046	5
4	-4.92884778959714	5
5	-5.03336910795151	5
6	-5.23689004977864	5
7	-5.50315156577981	5
8	-5.81206760356919	5
9	-6.15133945185271	5
10	-6.51290038024495	5
11	-6.89118770217375	5
12	-7.28221741118505	5
13	-7.68305102723674	5
14	-8.09147027672548	5
15	-8.50576916426643	5
16	-8.92461587824614	5
17	-9.34695806594173	5
18	-9.77195604158465	5
19	-10.1989345566404	5
20	-10.6273472453855	5
21	-11.0567499354189	5
22	-11.4867802911641	5
23	-11.9171420681687	5
24	-12.3475927820137	5
25	-12.7779339451234	5
26	-13.2080032617493	5
27	-13.6376683350886	5
28	-14.066821555489	5
29	-14.4953759207444	5
30	-14.9232615988745	5
31	-15.3504230873591	5
32	-15.7768168551604	5
33	-16.2024093781998	5
34	-16.6271754974396	5
35	-17.0510970429185	5
36	-17.4741616780948	5
37	-17.8963619274645	5
38	-18.3176943572189	5
39	-18.7381588841118	5
40	-19.1577581920445	5
41	-19.5764972393713	5
42	-19.9943828427741	5
43	-20.4114233258744	5
44	-20.8276282226621	5
45	-21.2430080273942	5
46	-21.6575739839269	5
47	-22.0713379085301	5
48	-22.4843120411484	5
49	-22.8965089208324	5
50	-23.3079412817102	5
51	-23.7186219664098	5
52	-24.1285638543028	5
53	-24.5377798023277	5
54	-24.9462825964818	5
55	-25.354084912352	5
56	-25.7611992832924	5
57	-26.1676380750629	5
58	-26.5734134659142	5
59	-26.9785374312567	5
60	-27.3830217321735	5
61	-27.7868779071525	5
62	-28.1901172664986	5
63	-28.5927508889738	5
64	-28.9947896202744	5
65	-29.3962440730195	5
66	-29.7971246279693	5
67	-30.197441436238	5
68	-30.5972044223018	5
69	-30.9964232876329	5
70	-31.3951075148192	5
71	-31.79326637205	5
72	-32.1909089178686	5
73	-32.5880440061098	5
74	-32.9846802909539	5
75	-33.3808262320404	5
76	-33.7764900995958	5
77	-34.1716799795375	5
78	-34.5664037785251	5
79	-34.9606692289332	5
80	-35.3544838937289	5
81	-35.7478551712387	5
82	-36.1407902997945	5
83	-36.5332963622508	5
84	-36.9253802903688	5
85	-37.3170488690633	5
86	-37.7083087405123	5
87	-38.0991664081286	5
88	-38.489628240395	5
89	-38.8797004745653	5
90	-39.2693892202331	5
91	-39.6587004627737	5
92	-40.0476400666601	5
93	-40.4362137786595	5
94	-40.8244272309139	5
95	-41.2122859439077	5
96	-41.5997953293288	5
97	-41.9869606928268	5
98	-42.3737872366719	5
99	-42.7602800623193	5
100	-43.1464441728845	5
101	-43.5322844755313	5
102	-43.9178057837779	5
103	-44.303012819725	5
104	-44.6879102162086	5
105	-45.0725025188816	5
106	-45.4567941882278	5
107	-45.8407896015106	5
108	-46.2244930546603	5
109	-46.6079087641022	5
110	-46.9910408685286	5
111	-47.373893430617	5
112	-47.756470438698	5
113	-48.1387758083727	5
114	-48.5208133840848	5
115	-48.9025869406473	5
116	-49.2841001847269	5
117	-49.6653567562868	5
118	-50.0463602299914	5
119	-50.4271141165723	5
120	-50.8076218641589	5
121	-51.1878868595744	5
122	-51.5679124295986	5
123	-51.9477018421983	5
124	-52.3272583077274	5
125	-52.7065849800973	5
126	-53.085684957919	5
127	-53.4645612856172	5
128	-53.8432169545181	5
129	-54.2216549039118	5
130	-54.5998780220899	5
131	-54.9778891473584	5
132	-55.3556910690289	5
133	-55.7332865283856	5
134	-56.1106782196318	5
135	-56.4878687908152	5
136	-56.864860844732	5
137	-57.2416569398116	5
138	-57.6182595909823	5
139	-57.9946712705177	5
140	-58.3708944088652	5
141	-58.7469313954563	5
142	-59.1227845795004	5
143	-59.498456270761	5
144	-59.873948740316	5
145	-60.2492642213016	5
146	-60.6244049096412	5
147	-60.9993729647589	5
148	-61.3741705102773	5
149	-61.7487996347026	5
150	-62.1232623920937	5
151	-62.497560802719	5
152	-62.8716968536988	5
153	-63.245672499635	5
154	-63.6194896632274	5
155	-63.9931502358785	5
156	-64.3666560782845	5
157	-64.7400090210157	5
158	-65.1132108650841	5
159	-65.4862633825002	5
160	-65.8591683168182	5
161	-66.2319273836699	5
162	-66.6045422712888	5
163	-66.9770146410224	5
164	-67.349346127835	5
165	-67.7215383408005	5
166	-68.0935928635844	5
167	-68.4655112549174	5
168	-68.8372950490579	5
169	-69.2089457562471	5
170	-69.5804648631534	5
171	-69.9518538333087	5
172	-70.3231141075356	5
173	-70.6942471043669	5
174	-71.065254220455	5
175	-71.4361368309754	5
176	-71.80689629002	5
177	-72.1775339309839	5
178	-72.548051066944	5
179	-72.9184489910302	5
180	-73.2887289767893	5
181	-73.658892278541	5
182	-74.0289401317279	5
183	-74.3988737532575	5
184	-74.7686943418382	5
185	-75.1384030783082	5
186	-75.5080011259577	5
187	-75.8774896308454	5
188	-76.2468697221081	5
189	-76.616142512264	5
190	-76.985309097511	5
191	-77.3543705580179	5
192	-77.7233279582108	5
193	-78.0921823470531	5
194	-78.4609347583203	5
195	-78.8295862108697	5
196	-79.198137708904	5
197	-79.5665902422303	5
198	-79.9349447865141	5
199	-80.3032023035278	5
200	-80.6713637413945	5
1	-Inf	6
2	-5.23805274858737	6
3	-4.56409656095552	6
4	-4.29116007029898	6
5	-4.19616835959645	6
6	-4.20223715447218	6
7	-4.27308275785866	6
8	-4.38859258149339	6
9	-4.53643936057948	6
10	-4.70852568319505	6
11	-4.89925597167369	6
12	-5.10461107360168	6
13	-5.32161510373365	6
14	-5.54801016268793	6
15	-5.78204849016196	6
16	-6.02235449233412	6
17	-6.2678301752242	6
18	-6.51758854214122	6
19	-6.77090557845291	6
20	-7.02718493033935	6
21	-7.28593146072188	6
22	-7.54673114424243	6
23	-7.80923557340567	6
24	-8.07314987463935	6
25	-8.3382231832475	6
26	-8.60424106398538	6
27	-8.87101942844771	6
28	-9.13839961619384	6
29	-9.40624438926348	6
30	-9.67443464973677	6
31	-9.94286673408949	6
32	-10.2114501709022	6
33	-10.4801058131678	6
34	-10.7487642752094	6
35	-11.0173646186245	6
36	-11.2858532428232	6
37	-11.5541829444324	6
38	-11.8223121166805	6
39	-12.0902040652917	6
40	-12.3578264217318	6
41	-12.6251506381012	6
42	-12.8921515507493	6
43	-13.1588070019332	6
44	-13.4250975106682	6
45	-13.6910059854081	6
46	-13.9565174724113	6
47	-14.2216189346493	6
48	-14.4862990569405	6
49	-14.7505480736739	6
50	-15.0143576160516	6
51	-15.2777205762518	6
52	-15.5406309863031	6
53	-15.8030839097907	6
54	-16.0650753447882	6
55	-16.3266021366406	6
56	-16.5876618994176	6
57	-16.8482529450191	6
58	-17.1083742190571	6
59	-17.3680252427511	6
60	-17.6272060601781	6
61	-17.8859171903014	6
62	-18.144159583276	6
63	-18.4019345805907	6
64	-18.6592438786601	6
65	-18.9160894955273	6
66	-19.1724737403752	6
67	-19.4283991855819	6
68	-19.6838686410827	6
69	-19.9388851308292	6
70	-20.1934518711575	6
71	-20.4475722508974	6
72	-20.7012498130724	6
73	-20.9544882380549	6
74	-21.2072913280547	6
75	-21.4596629928306	6
76	-21.7116072365253	6
77	-21.963128145534	6
78	-22.2142298773234	6
79	-22.4649166501278	6
80	-22.7151927334525	6
81	-22.9650624393245	6
82	-23.2145301142319	6
83	-23.4636001317001	6
84	-23.7122768854585	6
85	-23.9605647831516	6
86	-24.2084682405561	6
87	-24.4559916762661	6
88	-24.7031395068114	6
89	-24.9499161421797	6
90	-25.19632598171	6
91	-25.4423734103338	6
92	-25.6880627951372	6
93	-25.9333984822207	6
94	-26.1783847938369	6
95	-26.4230260257842	6
96	-26.6673264450407	6
97	-26.9112902876179	6
98	-27.154921756622	6
99	-27.3982250205055	6
100	-27.6412042114964	6
